Two-objective 40-job 20-machine Problem

The number of solutions	44

obj1	obj2			

3315	1075			
3341	799			
3342	755			
3351	752			
3356	748			
3364	745			
3367	715			
3373	689			
3377	675			
3383	653			
3387	518
3392	508
3393	474
3408	463
3412	460
3413	441
3417	398
3419	394
3424	374
3426	359
3448	350
3457	325
3461	318
3467	293
3469	288
3485	286
3491	284
3498	283
3501	279
3503	277
3506	251
3525	220
3532	202
3546	189
3556	188
3565	178
3572	174
3582	145
3598	137
3620	136
3646	132
3663	114
3690	103
3696	97
