Three-objective 80-job 20-machine Problem

The number of solutions	508

obj1	obj2	obj3		

5470	4357	273519		
5470	4364	273225		
5472	2912	272825		
5474	2912	272752		
5475	2763	272782		
5478	4050	271493		
5479	2767	272484		
5479	2921	272474		
5479	4048	271725		
5481	2345	271836		
5487	3986	271708
5488	1843	268963
5488	1896	268885
5489	1567	272379
5490	1843	268768
5491	1470	269410
5492	1197	274025
5492	1238	273319
5495	1435	269632
5495	1476	268921
5496	1856	268583
5497	1197	273416
5497	1492	268041
5498	1221	270791
5498	1435	269620
5499	1470	269257
5500	1313	269570
5500	1366	269062
5501	1367	268489
5501	1762	267948
5501	1767	267939
5502	1314	268981
5506	1228	270117
5506	1294	270091
5506	1492	267902
5507	1033	270749
5507	1038	270362
5507	1055	269766
5507	1128	268954
5507	1252	268701
5507	1270	267734
5509	1038	270190
5509	1184	268365
5511	1166	268837
5512	894	273531
5512	961	273332
5512	1184	268216
5513	1067	267943
5513	1166	267574
5513	1188	267553
5513	1231	267347
5513	1237	267334
5513	1272	267323
5514	855	275702
5514	961	272757
5514	995	269009
5514	1067	267761
5514	1272	267165
5515	755	275824
5515	1037	267641
5516	646	276101
5516	967	269326
5516	1638	266465
5516	1668	266323
5517	742	274831
5517	1671	266266
5518	804	272868
5518	1287	266225
5519	742	274062
5519	1188	267303
5519	1796	266075
5519	1935	265804
5520	581	277640
5520	626	277567
5520	695	275218
5520	757	272546
5520	1935	265156
5521	619	276374
5521	845	272522
5521	1687	266019
5522	694	275362
5522	1366	265300
5522	1903	265207
5523	694	275048
5523	971	267893
5523	980	267466
5523	1198	267000
5523	1282	266867
5524	847	271376
5524	1690	264883
5524	1819	264831
5525	681	271888
5525	900	268432
5526	581	277538
5526	1306	265465
5527	571	274752
5527	642	271536
5527	971	267695
5528	1306	265423
5528	3179	263912
5529	1067	267417
5531	1126	267189
5532	1037	266902
5532	1241	265761
5532	2710	263969
5533	838	270960
5533	900	267517
5533	1623	265015
5533	3065	263840
5534	837	270422
5534	1212	266589
5534	1393	264887
5534	1712	264380
5534	1988	264138
5537	830	271370
5537	881	268562
5537	900	267329
5538	565	270449
5538	3043	263309
5539	517	273257
5540	2878	263622
5541	499	273943
5541	524	272121
5541	1004	266480
5542	500	273012
5542	559	271494
5542	881	267716
5542	1814	264279
5544	499	273332
5544	559	271311
5544	1222	266398
5545	538	271955
5545	565	270101
5545	1393	264728
5546	517	272736
5546	826	269550
5546	971	267111
5546	1222	266247
5547	475	274366
5548	1037	266217
5549	538	271656
5549	1229	266124
5549	2462	263972
5550	458	277107
5550	971	266921
5550	2710	263843
5551	2645	263810
5551	2750	263467
5552	455	276524
5552	499	273111
5552	2192	264130
5553	826	269263
5553	1004	266096
5553	2169	263920
5554	475	274111
5554	521	272539
5554	1690	264252
5554	2459	263676
5555	474	273640
5555	559	270816
5555	1388	265246
5556	499	272438
5557	826	269192
5558	499	272331
5558	1690	264218
5558	2387	263695
5558	2967	263356
5559	559	270630
5559	753	269702
5559	2241	263881
5560	760	269559
5561	881	267476
5561	3404	263246
5561	3697	263106
5561	3723	262735
5562	474	273480
5563	2018	264049
5564	565	269737
5564	807	269415
5565	1389	264111
5566	2651	263540
5566	3204	263199
5567	601	269383
5567	1690	263691
5568	565	269569
5568	3116	263283
5569	749	269037
5570	877	267946
5570	957	266733
5570	3617	262951
5571	458	276475
5571	538	271336
5572	868	268909
5572	879	267696
5572	991	266396
5573	743	268731
5574	499	272080
5574	3719	262899
5575	825	267572
5575	1306	265020
5575	2208	263554
5576	1287	265069
5576	1306	264628
5577	1277	265625
5578	474	272854
5578	522	271866
5578	1287	264905
5578	3546	263009
5579	3107	262945
5580	3046	263210
5582	2462	263402
5583	1213	265461
5583	1277	265249
5584	743	268213
5584	1959	263546
5587	538	271253
5588	455	276140
5588	522	271769
5590	881	267466
5590	900	267269
5591	1690	263625
5593	459	274148
5594	559	270456
5595	957	266597
5596	559	270290
5596	608	269249
5596	953	267143
5597	562	270281
5599	2208	263422
5599	3022	263101
5600	434	279455
5600	536	271619
5601	1131	265964
5601	2307	263329
5602	446	274510
5603	446	274502
5603	2102	263222
5604	3661	262579
5605	434	277868
5605	559	270023
5605	734	268870
5605	3059	262777
5608	434	277477
5608	536	271376
5608	1389	263861
5608	1690	263431
5609	861	267373
5610	405	278622
5610	565	269231
5610	1277	265227
5610	1287	264898
5610	1306	264606
5611	436	277055
5611	522	271711
5613	536	271023
5615	861	267268
5615	3727	262545
5616	440	276373
5616	1213	265298
5618	456	274445
5618	902	266930
5619	405	278119
5619	504	271986
5620	536	270964
5620	1192	265915
5621	521	271795
5622	434	277276
5622	452	274214
5623	452	274119
5623	810	267950
5623	811	267688
5623	861	267083
5623	1243	265159
5624	521	271628
5626	442	276150
5628	442	276006
5628	538	270785
5630	406	277576
5630	520	271740
5630	522	271461
5630	1189	265897
5631	406	277495
5633	544	270673
5633	743	268180
5633	1182	265473
5633	3661	262569
5634	434	276797
5634	440	276149
5636	473	274083
5636	1156	265792
5637	442	275941
5638	440	275540
5640	473	273928
5641	421	276332
5641	433	275893
5641	736	268826
5641	743	267949
5641	1156	265757
5642	1127	265907
5642	1156	265727
5643	509	271856
5645	785	267936
5645	786	267684
5646	1277	265083
5646	1287	264754
5646	1306	264517
5647	420	277054
5647	432	276283
5647	433	275403
5648	421	275806
5648	452	274056
5648	456	273973
5649	405	277107
5649	421	275655
5650	504	271945
5650	520	271706
5650	522	271330
5651	536	270944
5652	433	274808
5652	499	271777
5652	1156	265722
5652	1189	265314
5652	1221	265021
5653	420	276812
5654	387	281072
5656	456	273480
5656	697	269119
5658	452	273635
5659	536	270606
5660	449	274142
5660	520	271672
5662	1127	265832
5664	895	266726
5665	399	280784
5665	475	272818
5665	477	272770
5665	481	272571
5666	393	277542
5666	456	273448
5666	465	273373
5666	811	267650
5666	826	267223
5666	861	267051
5667	442	274672
5667	1156	265571
5668	536	270508
5668	1035	265934
5670	442	274494
5671	435	274742
5671	520	271659
