Two-objective 60-job 20-machine Problem

The number of solutions	54

obj1	obj2			

4475	2770			
4480	2732			
4495	2680			
4497	2039			
4506	2031			
4514	1802			
4516	1798			
4524	1619			
4527	1410			
4528	1222			
4536	1216
4537	1153
4539	968
4543	965
4555	551
4562	536
4564	521
4578	461
4579	457
4582	456
4589	434
4601	433
4607	413
4610	379
4617	373
4618	372
4619	364
4622	359
4627	344
4645	342
4659	309
4670	292
4679	273
4687	269
4733	259
4762	256
4770	254
4777	252
4787	237
4794	234
4798	232
4799	215
4810	213
4822	208
4823	207
4825	204
4832	198
4836	184
4859	172
4881	164
4882	156
4907	152
4915	140
4948	138
